class,guid,centreOfMassX,centreOfMassY,centreOfMassZ,surfaceArea,maxFaceMass,edgeCount,edgeLenSum,segment_no
TB,5b8c7ab1-0002-b96a-3135-333539343037,621500,-19062.27589,2820.95321,87058915.85,43200038.4,17,86592.51236,scw-C3-JD-27
OB,5b8c7ab1-0002-b972-3135-333539343037,621500,-20596.17741,2018.579302,47945744.51,23475920.41,12,66380.24544,scw-C3-JD-27
IB,5b8c7ab1-0002-b976-3135-333539343037,628250,-14112.80512,1324.099055,43802320.18,21719726.68,3070,84904.51305,scw-C3-JD-27
IB,5b8c7ab1-0002-b9c6-3135-333539343037,628250,-3500.001265,1319.748061,49418083.83,24483564.78,3061,103663.0107,scw-C3-JD-27
IB,5b8c7ab1-0002-ba16-3135-333539343037,628250,7112.802853,1324.097842,43802366.53,21719749.87,3077,86625.90447,scw-C3-JD-27
IB,5b8c7ab1-0002-ba66-3135-333539343037,620750,-14112.80599,1324.09913,43802325.69,21719729.64,3070,84904.42999,scw-C3-JD-27
IB,5b8c7ab1-0002-bab6-3135-333539343037,620750,-3500.001265,1319.748061,49418083.83,24483564.78,3061,103663.0107,scw-C3-JD-27
IB,5b8c7ab1-0002-bb06-3135-333539343037,620750,7112.799323,1324.097552,43802347.36,21719744.53,3081,87593.0237,scw-C3-JD-27
IB,5b8c7ab1-0002-bb56-3135-333539343037,617000,-14112.80642,1324.099168,43802328.45,21719731.12,3070,84904.38845,scw-C3-JD-27
IB,5b8c7ab1-0002-bba6-3135-333539343037,617000,-3500.001265,1319.748061,49418083.83,24483564.78,3061,103663.0107,scw-C3-JD-27
IB,5b8c7ab1-0002-bbf6-3135-333539343037,617000,7112.79756,1324.097408,43802337.79,21719743.05,3081,87593.0379,scw-C3-JD-27
IB,5b8c7ab1-0002-bc46-3135-333539343037,624500,-12918.88489,1253.999613,34707882.56,17193058.91,1945,63501.03011,scw-C3-JD-27
IB,5b8c7ab1-0002-bc92-3135-333539343037,624500,-3500.001254,1319.748169,49508274.01,24483564.09,3061,105697.6761,scw-C3-JD-27
IB,5b8c7ab1-0002-bce2-3135-333539343037,624500,5918.866548,1253.996167,34707780.67,17193008.23,1947,64053.63564,scw-C3-JD-27
AT,5b8c7ab1-0002-bd3e-3135-333539343037,616999.9997,-11699.77103,3030.014605,388799.662,167999.8474,12,3639.99782,scw-C3-JD-27
AT,5b8c7ab1-0002-bd42-3135-333539343037,616999.9997,-10499.77093,3060.014605,388799.662,167999.8474,12,3639.99782,scw-C3-JD-27
AT,5b8c7ab1-0002-bd46-3135-333539343037,616999.9997,4699.771069,3030.014605,388799.662,167999.8474,12,3639.99782,scw-C3-JD-27
AT,5b8c7ab1-0002-bd4a-3135-333539343037,616999.9997,3499.770969,3060.014605,388799.662,167999.8474,12,3639.99782,scw-C3-JD-27
AT,5b8c7ab1-0002-bd4e-3135-333539343037,624499.9997,-11699.77103,3030.014605,388799.662,167999.8474,12,3639.99782,scw-C3-JD-27
AT,5b8c7ab1-0002-bd52-3135-333539343037,624499.9997,-10499.77093,3060.014605,388799.662,167999.8474,12,3639.99782,scw-C3-JD-27
AT,5b8c7ab1-0002-bd56-3135-333539343037,624499.9997,4699.771083,3030.014605,388799.662,167999.8474,12,3639.99782,scw-C3-JD-27
AT,5b8c7ab1-0002-bd5a-3135-333539343037,624499.9997,3499.770983,3060.014605,388799.662,167999.8474,12,3639.99782,scw-C3-JD-27
IB,5b8c7ab1-0002-bd5e-3135-333539343037,622626.807,4100.000016,1217.817375,17115432.88,8465390.486,288,31927.31841,scw-C3-JD-27
IB,5b8c7ab1-0002-bd76-3135-333539343037,628629.7084,4100.000138,1211.184355,3652828.789,1787002.962,147,13725.14433,scw-C3-JD-27
IB,5b8c7ab1-0002-bd82-3135-333539343037,626377.9032,4100.000016,1217.837058,17115712.94,8465530.516,288,31927.31841,scw-C3-JD-27
IB,5b8c7ab1-0002-bd96-3135-333539343037,618877.37,4100.000016,1217.834568,17120575.03,8467949.557,288,31931.31845,scw-C3-JD-27
IB,5b8c7ab1-0002-bdb6-3135-333539343037,615496.8482,4100.000016,1219.958488,13521607.58,6679030.222,213,28109.85588,scw-C3-JD-27
IB,5b8c7ab1-0002-bdc2-3135-333539343037,622626.807,-11100.00002,1217.817435,17115433.8,8465390.919,288,31927.32776,scw-C3-JD-27
IB,5b8c7ab1-0002-bdd6-3135-333539343037,628629.7084,-11099.99997,1211.184355,3652828.789,1787002.962,147,13725.14433,scw-C3-JD-27
IB,5b8c7ab1-0002-bde2-3135-333539343037,626377.9033,-11100.00002,1217.837114,17115713.8,8465530.919,288,31927.32776,scw-C3-JD-27
IB,5b8c7ab1-0002-bdf6-3135-333539343037,618877.3701,-11100.00002,1217.834623,17120575.88,8467949.955,288,31931.3278,scw-C3-JD-27
IB,5b8c7ab1-0002-be0a-3135-333539343037,615496.8483,-11100.00002,1219.958551,13521608.36,6679030.584,213,28109.86523,scw-C3-JD-27
OB,5b8c7ab1-0002-be26-3135-333539343037,621500,13596.17741,2018.579302,47945744.51,23475920.41,12,66380.24544,scw-C3-JD-27
IB,5b8c7ab1-0002-be2a-3135-333539343037,628250,-11089.01351,2670.784118,3046663.39,1454034.044,1224,31799.06048,scw-C3-JD-27
IB,5b8c7ab1-0002-be49-3135-333539343037,628250,-14088.06611,2595.591229,2033668.66,968720.0712,840,22045.70361,scw-C3-JD-27
IB,5b8c7ab1-0002-be60-3135-333539343037,628250,-16432.23987,2534.725169,1944524.224,924887.3038,837,21739.92319,scw-C3-JD-27
IB,5b8c7ab1-0002-be77-3135-333539343037,628250,-19009.70268,2487.934732,2496120.46,1193571.866,1028,25660.94438,scw-C3-JD-27
IB,5b8c7ab1-0002-be92-3135-333539343037,628250,-5129.376359,2826.0293,2994140.165,1432338.875,1138,29854.80561,scw-C3-JD-27
IB,5b8c7ab1-0002-bead-3135-333539343037,628250,-8089.949718,2745.544112,2033668.945,968720.2105,840,22045.70472,scw-C3-JD-27
IB,5b8c7ab1-0002-bec4-3135-333539343037,628250,4089.01355,2670.784118,3046663.39,1454034.044,1224,31799.06048,scw-C3-JD-27
IB,5b8c7ab1-0002-bee3-3135-333539343037,620750,-11089.01351,2670.784118,3046663.39,1454034.044,1224,31799.06048,scw-C3-JD-27
IB,5b8c7ab1-0002-bf02-3135-333539343037,620750,-14088.06611,2595.591229,2033668.66,968720.0712,840,22045.70361,scw-C3-JD-27
IB,5b8c7ab1-0002-bf19-3135-333539343037,620750,-16432.23987,2534.725169,1944524.224,924887.3038,837,21739.92319,scw-C3-JD-27
IB,5b8c7ab1-0002-bf30-3135-333539343037,620750,-19009.70531,2487.934476,2496125.049,1193574.217,1028,25660.92042,scw-C3-JD-27
IB,5b8c7ab1-0002-bf4b-3135-333539343037,620750,-5129.376359,2826.0293,2994140.165,1432338.875,1138,29854.80561,scw-C3-JD-27
IB,5b8c7ab1-0002-bf66-3135-333539343037,620750,-8089.949718,2745.544112,2033668.945,968720.2105,840,22045.70472,scw-C3-JD-27
IB,5b8c7ab1-0002-bf7d-3135-333539343037,620750,4089.01355,2670.784118,3046663.39,1454034.044,1224,31799.06048,scw-C3-JD-27
IB,5b8c7ab1-0002-bf9c-3135-333539343037,617000,-11089.01351,2670.784118,3046663.39,1454034.044,1224,31799.06048,scw-C3-JD-27
IB,5b8c7ab1-0002-bfbb-3135-333539343037,617000,-14088.06611,2595.591229,2033668.66,968720.0712,840,22045.70361,scw-C3-JD-27
IB,5b8c7ab1-0002-bfd2-3135-333539343037,617000,-16432.23987,2534.725169,1944524.224,924887.3038,837,21739.92319,scw-C3-JD-27
IB,5b8c7ab1-0002-bfe9-3135-333539343037,617000,-19009.70663,2487.934348,2496127.343,1193575.394,1028,25660.90841,scw-C3-JD-27
IB,5b8c7ab1-0002-c004-3135-333539343037,617000,-5129.376359,2826.0293,2994140.165,1432338.875,1138,29854.80561,scw-C3-JD-27
IB,5b8c7ab1-0002-c01f-3135-333539343037,617000,-8089.949718,2745.544112,2033668.945,968720.2105,840,22045.70472,scw-C3-JD-27
IB,5b8c7ab1-0002-c036-3135-333539343037,617000,4089.01355,2670.784118,3046663.39,1454034.044,1224,31799.06048,scw-C3-JD-27
IB,5b8c7ab1-0002-c055-3135-333539343037,624500,-11089.01361,2670.784563,3074377.164,1454031.409,1224,32615.05756,scw-C3-JD-27
IB,5b8c7ab1-0002-c074-3135-333539343037,624500,-14088.06593,2595.59206,2052909.728,968717.7651,840,22605.69971,scw-C3-JD-27
IB,5b8c7ab1-0002-c08b-3135-333539343037,624500,-1870.615311,2826.029197,3020033.45,1432339.495,1139,30701.00741,scw-C3-JD-27
IB,5b8c7ab1-0002-c0a6-3135-333539343037,624500,1090.001039,2745.542737,2052914.838,968720.3057,840,22605.70449,scw-C3-JD-27
IB,5b8c7ab1-0002-c0bd-3135-333539343037,624500,-5129.372577,2826.03091,3020015.421,1432330.275,1138,30612.92316,scw-C3-JD-27
IB,5b8c7ab1-0002-c0d8-3135-333539343037,624500,-8089.951982,2745.545841,2052900.296,968713.0707,840,22605.69243,scw-C3-JD-27
IB,5b8c7ab1-0002-c0ef-3135-333539343037,624500,4089.013438,2670.784101,3074382.686,1454034.161,1224,32615.06065,scw-C3-JD-27
IB,5b8c7ab1-0002-c10e-3135-333539343037,624500,7088.06616,2595.591219,2052914.222,968720.0013,840,22605.70322,scw-C3-JD-27
IR,5b8c7ab1-0002-c133-3135-333539343037,621500,-3747.40561,3097.785555,6482080,2998000,12,60824,scw-C3-JD-27
IR,5b8c7ab1-0002-c136-3135-333539343037,621500,-3252.594356,3097.785555,6482080,2998000,12,60824,scw-C3-JD-27
IR,5b8c7ab1-0002-c139-3135-333539343037,621500,12042.37158,2713.420234,6362032,2938040,12,60808,scw-C3-JD-27
IR,5b8c7ab1-0002-c13c-3135-333539343037,621500,-19042.37155,2713.420234,6362032,2938040,12,60808,scw-C3-JD-27
UR,5b8c7ab1-0002-c13f-3135-333539343037,621500,-10700,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c142-3135-333539343037,621500,-11500,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c145-3135-333539343037,621500,3700,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c148-3135-333539343037,621500,4500,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c14b-3135-333539343037,621500,-3500,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c14e-3135-333539343037,621500,-2700,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c151-3135-333539343037,621500,-1900,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c154-3135-333539343037,621500,-1100,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c157-3135-333539343037,621500,-300,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c15a-3135-333539343038,621500,500,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c15d-3135-333539343038,621500,1300,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c160-3135-333539343038,621500,2100,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c163-3135-333539343038,621500,2900,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c166-3135-333539343038,621500,5300,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c169-3135-333539343038,621500,6100,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c16c-3135-333539343038,621500,6900,167.3119789,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c16f-3135-333539343038,621500,8255.916048,247.6232207,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c172-3135-333539343038,621500,9038.057211,415.7160551,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c175-3135-333539343038,621500,9820.198374,583.8088895,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c178-3135-333539343038,621500,10602.33954,751.9017238,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c17b-3135-333539343038,621500,11384.4807,919.9945582,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c17e-3135-333539343038,621500,12166.62186,1088.087393,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c181-3135-333539343038,621500,12948.76303,1256.180227,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c184-3135-333539343038,621500,-12300,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c187-3135-333539343038,621500,-13100,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c18a-3135-333539343038,621500,-13900,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c18d-3135-333539343038,621500,-15255.91605,247.6232208,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c190-3135-333539343038,621500,-16038.05721,415.7160552,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c193-3135-333539343038,621500,-16820.19837,583.8088895,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c196-3135-333539343038,621500,-17602.33954,751.9017239,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c199-3135-333539343038,621500,-18384.4807,919.9945584,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c19c-3135-333539343038,621500,-19166.62186,1088.087393,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c19f-3135-333539343038,621500,-19948.76303,1256.180227,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c1a2-3135-333539343038,621500,-9900,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c1a5-3135-333539343038,621500,-6700,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c1a8-3135-333539343038,621500,-7500,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c1ab-3135-333539343038,621500,-8300,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c1ae-3135-333539343038,621500,-9100,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c1b1-3135-333539343038,621500,-4300,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c1b4-3135-333539343038,621500,-5100,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
UR,5b8c7ab1-0002-c1b7-3135-333539343038,621500,-5900,167.311979,22316485.42,3484177.099,72,351076.8714,scw-C3-JD-27
IR,5b8c7ab1-0002-c1ba-3135-333539343038,621500,13402.86036,1284.92376,6270400,2900000,12,58864,scw-C3-JD-27
IR,5b8c7ab1-0002-c1bd-3135-333539343038,621500,7445.001781,100.0004697,6270400,2900000,12,58864,scw-C3-JD-27
IR,5b8c7ab1-0002-c1c0-3135-333539343038,621500,-20402.86036,1284.92376,6270400,2900000,12,58864,scw-C3-JD-27
IR,5b8c7ab1-0002-c1c3-3135-333539343038,621500,-14445.00178,100.0004697,6270400,2900000,12,58864,scw-C3-JD-27
UR,5b8c7ab1-0002-c1c6-3135-333539343038,621500,-2204.831702,2994.478724,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c1d9-3135-333539343038,621500,-1605.019114,2979.483409,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c1ec-3135-333539343038,621500,-1005.206526,2964.488094,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c1ff-3135-333539343038,621500,-405.3939381,2949.49278,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c212-3135-333539343038,621500,194.4186498,2934.497465,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c225-3135-333539343038,621500,794.2312376,2919.502151,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c238-3135-333539343038,621500,1394.043825,2904.506836,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c24b-3135-333539343038,621500,1993.856413,2889.511521,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c25e-3135-333539343038,621500,2593.669001,2874.516207,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c271-3135-333539343038,621500,3193.481589,2859.520892,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c284-3135-333539343038,621500,3793.294177,2844.525578,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c297-3135-333539343038,621500,4393.106765,2829.530263,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c2aa-3135-333539343038,621500,4992.919353,2814.534948,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c2bd-3135-333539343038,621500,5592.73194,2799.539634,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c2d0-3135-333539343038,621500,6192.544528,2784.544319,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c2e3-3135-333539343038,621500,6792.357116,2769.549004,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c2f6-3135-333539343038,621500,7392.169704,2754.55369,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c309-3135-333539343038,621500,7991.982292,2739.558375,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c31c-3135-333539343038,621500,8591.79488,2724.563061,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c32f-3135-333539343038,621500,9191.607467,2709.567746,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c342-3135-333539343038,621500,9791.420055,2694.572431,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c355-3135-333539343038,621500,10391.23264,2679.577117,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c368-3135-333539343038,621500.0003,10991.01186,2663.245765,22432358.99,3904266.038,317,426415.3859,scw-C3-JD-27
UR,5b8c7ab1-0002-c37b-3135-333539343038,621500.0003,11590.82449,2648.252141,22432358.99,3904266.038,317,426415.3859,scw-C3-JD-27
UR,5b8c7ab1-0002-c38e-3135-333539343038,621500.0003,12540.52782,2624.512237,22432358.99,3904266.038,317,426415.3859,scw-C3-JD-27
UR,5b8c7ab1-0002-c3a1-3135-333539343038,621500.0003,13090.35606,2610.768081,22432358.99,3904266.038,317,426415.3859,scw-C3-JD-27
UR,5b8c7ab1-0002-c3b4-3135-333539343038,621500,-2804.644289,3009.474039,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c3c7-3135-333539343038,621500,-4795.167961,2994.478732,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c3da-3135-333539343038,621500,-5394.980549,2979.483417,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c3ed-3135-333539343038,621500,-5994.793136,2964.488103,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c400-3135-333539343038,621500,-6594.605724,2949.492788,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c413-3135-333539343038,621500,-7194.418312,2934.497474,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c426-3135-333539343038,621500,-7794.2309,2919.502159,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c439-3135-333539343038,621500,-8394.043488,2904.506844,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c44c-3135-333539343038,621500,-8993.856076,2889.51153,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
UR,5b8c7ab1-0002-c45f-3135-333539343038,621500,-9593.668664,2874.516215,22719726.03,3971371.263,317,426329.3823,scw-C3-JD-27
